"pap_cw","nl","en","scientific","image","License Command"
"Wabi","Acacia","Acacia","Vachellia tortuosa","wabi.jpg","./add-license.sh 'Wabi (Vachellia tortuosa)' wabi.jpg"
"Flaira",,"Bellyache bush","Jatropha gossypiifolia","flaira.jpg","./add-license.sh 'Flaira (Jatropha gossypiifolia)' flaira.jpg"
"Trinitaria","Bougainville","Bougainville","Bougainvillea","trinitaria.jpg","./add-license.sh 'Trinitaria (Bougainvillea)' trinitaria.jpg"
"Flamboyan","Flamboyant","Royal poinciana","Delonix regia","flamboyan.jpg","./add-license.sh 'Flamboyan (Delonix regia)' flamboyan.jpg"
"Kadushi","Zuilcactus","Peruvian apple cactus","Cereus repandus","kadushi.jpg","./add-license.sh 'Kadushi (Cereus repandus)' kadushi.jpg"
"Teku di mondi","Grondbromelia","Tillandsia ","Bromelia humilis","teku_di_mondi.jpg","./add-license.sh 'Teku di mondi (Bromelia humilis)' teku_di_mondi.jpg"
"Rosa","Roos","Rose ","Rosaceae","rosa.jpg","./add-license.sh 'Rosa (Rosaceae)' rosa.jpg"
"Drèifi di laman","Zeedruif","Sea grape","Coccoloba uvifera","drèifi_di_laman.jpg","./add-license.sh 'Drèifi di laman (Coccoloba uvifera)' drèifi_di_laman.jpg"
"Flor di sanger","Lantana","Common Lantana","Lantana camara","flor_di_sanger.jpg","./add-license.sh 'Flor di sanger (Lantana camara)' flor_di_sanger.jpg"
"Indju",,"Mesquite","Prosopis juliflora","indju.jpg","./add-license.sh 'Indju (Prosopis juliflora)' indju.jpg"
"Magdalena","Magdaleentje/ Roze maagdenpalm","Rose Periwinkle","Catharanthus roseus","magdalena.jpg","./add-license.sh 'Magdalena (Catharanthus roseus)' magdalena.jpg"
"Orkidia blanku","Witte Orchidee","Lady of the Night orchid","Brassavola nodosa","orkidia_blanku.jpg","./add-license.sh 'Orkidia blanku (Brassavola nodosa)' orkidia_blanku.jpg"
"Palu di koko","Kokospalm","Coconut tree","Cocos nucifera","palu_di_koko.jpg","./add-license.sh 'Palu di koko (Cocos nucifera)' palu_di_koko.jpg"
"Barba di yònkuman",,"Woman’s tongue","Albizia lebbeck","barba_di_yònkuman.jpg","./add-license.sh 'Barba di yònkuman (Albizia lebbeck)' barba_di_yònkuman.jpg"
"Palu di kalbas","Kalebas boom","kalebash tree","Crescentia cujete","palu_di_kalbas.jpg","./add-license.sh 'Palu di kalbas (Crescentia cujete)' palu_di_kalbas.jpg"
"Palu di Tamarein","Tamarinde boom","Tamarind tree","Tamarindus indica","palu_di_tamarein.jpg","./add-license.sh 'Palu di Tamarein (Tamarindus indica)' palu_di_tamarein.jpg"
"Wayaca","Pokhout","Lignum Vitae","Guaiacum officinale","wayaca.jpg","./add-license.sh 'Wayaca (Guaiacum officinale)' wayaca.jpg"
"Palu di mangel kòrá","Rode mangrove","Red mangrove","Rhizophora mangle","palu_di_mangel_kòrá.jpg","./add-license.sh 'Palu di mangel kòrá (Rhizophora mangle)' palu_di_mangel_kòrá.jpg"
"Palu di mahok","Caribsche mahok","West Indian mahogany","Swietenia mahagoni","palu_di_mahok.jpg","./add-license.sh 'Palu di mahok (Swietenia mahagoni)' palu_di_mahok.jpg"
"Korona di la birgen","Wilde passievrucht","Passiflora","Passiflora foetida var. foetida","korona_di_la_birgen01.jpg","./add-license.sh 'Korona di la birgen (Passiflora foetida var. foetida)' korona_di_la_birgen01.jpg"
"Palu di Mango","Mango boom","Mango tree","Mangifera indica","palu_di_mango.jpg","./add-license.sh 'Palu di Mango (Mangifera indica)' palu_di_mango.jpg"
"Infrou","Spaanse juffer","Opuntia","Opuntia caracassana","infrou.jpg","./add-license.sh 'Infrou (Opuntia caracassana)' infrou.jpg"
