abandono,abandono
abarká,abarca
abarkando,abandono
abatí,tabata
abatuar,abattoir
abatuarnan,baluartenan
abeha,abeha
abehanan,abehanan
abemaria,Ave Maria
abemarianan,lamariana
aber,haber
abertura,cobertura
aberturanan,aventuranan
abesedario,dromedario
abesedarionan,dromedarionan
abestrus,avestruz
abestrusnan,avestruznan
abiertamente,abiertamente
ábil,bil
abilidat,stabilidad
abilidatnan,habilidadnan
abilitá,rehabilita
ábilmente,ilegalmente
abismo,abismo
abismonan,abismonan
abitá,habita
abitando,habitando
abitante,habitante
abitantenan,habitantenan
abla,bala
ablante,hablante
ablantenan,hablantenan
ablativo,apelativo
ablativonan,acusativonan
ablif,ablif
abo,abo
abogado,abogado
abogadonan,abogadonan
abogasia,abogacia
abolí,aboli
aboliendo,aboliendo
abolishon,abolicion
abominabel,abominabel
aboná,abona
abonado,abonado
abonadonan,abonadonan
abono,abono
abortá,aborta
abortando,abortando
aborto,aborto
abortonan,abortonan
abou,abou
abraiko,abraso
abrakadabra,abracadabra
abraso,abraso
abrasonan,abrasonan
abrenunsia,abrenuncia
abreviá,abrevia
abreviando,abreviando
abreviashon,abreviacion
abreviashon,abreviacion
abreviashonnan,abreviacion
abreviatura,abreviacion
abreviaturanan,criaturanan
abrumador,bromado
abrupto,abrupto
abundá,abundante
abundansia,abundancia
abundante,abundante
abusá,abusa
abusamentu,fabulosamente
abusador,abusado
abusadó,abusado
abusando,abusando
abuso,abuso
abusu,abusa
achin,nachi
ada,fada
adanan,aduana
adaptabel,adaptabel
adaptabilidat,aceptabilidad
adaptá,adapta
adaptando,adaptando
adaptashon,adaptacion
adaptashon,adaptacion
adaptashonnan,adaptacionnan
adekuá,adecua
adekuadamente,adecuadamente
adekuado,adecuado
adelantá,adelanta
adelantando,adelantando
adelante,adelante
adelanto,adelanto
adelantonan,adelanto nan
adelisia,dialisis
adelisianan,analisis
ademas,ademas
aden,aden
ader,ader
adernan,ader nan
adikshon,radiothon
adikto,adicto
adiktonan,candidatonan
adishonal,adicional
adishonalmente,tradicionalmente
adjust,adjust
adolesensia,adolescencia
adolesente,adolescente
adolesentenan,adolescente
adopshon,adopcion
adopshonnan,adopcionnan
adoptá,adopta
adoptando,adoptando
adoptante,adoptante
adoptantenan,adoptante nan
adoptivo,adoptivo
adorabel,adorabel
adoradó,adorado
adoradónan,ganadoranan
adorá,adora
adoradó,adorado
adorashon,adoracion
adorno,adorno
adornonan,adornonan
adrei,adresa
adreinan,adrenalina
adrès,adres
adrèsnan,adresnan
adulterio,adulterio
adúltero,adulterio
adultes,adulterio
adulto,adulto
adultonan,adultonan
aéreo,aereo
aerodinámika,aerodinamica
