"pap_cw","nl","en","scientific","image","License Command"
"Palu di taki","x","x","Geoffroea spinosa","palu_di_taki.jpg","./add_license.sh 'Palu di taki (Geoffroea spinosa)' palu_di_taki.jpg"
"Palu santu","Strandpopulier","Portia tree","Thespesia populnea","palu_santu.jpg","./add_license.sh 'Palu santu (Thespesia populnea)' palu_santu.jpg"
"Pita","Agave","Agave","Agave boldinghiana","pita.jpg","./add_license.sh 'Pita (Agave boldinghiana)' pita.jpg"
"Puta luango","x","Seaside twintip","Stemodia maritima","puta_luango.jpg","./add_license.sh 'Puta luango (Stemodia maritima)' puta_luango.jpg"
"Sabal","Sabal palm","Sabal palm","Sabal antillensis","sabal.jpg","./add_license.sh 'Sabal (Sabal antillensis)' sabal.jpg"
"Shimaruku","West Indische kers","West Indian Cherry","Malpighia glabra","shimaruku01.jpg","./add_license.sh 'Shimaruku (Malpighia glabra)' shimaruku01.jpg"
"Palu di sia blanku","Witte zadelboom","x","Bursera karsteniana","palu_di_sia_blanku.jpg","./add_license.sh 'Palu di sia blanku (Bursera karsteniana)' palu_di_sia_blanku.jpg"
"Takamahak","x","x","Bursera tomentosa","takamahak01.jpg","./add_license.sh 'Takamahak (Bursera tomentosa)' takamahak01.jpg"
"Tuna","Schijfcactus","Red flower Prickly Pear","Opuntia elatior","tuna.jpg","./add_license.sh 'Tuna (Opuntia elatior)' tuna.jpg"
"Watakeli","x","Bahama strongbark","Bourreria succulenta","watakeli.jpg","./add_license.sh 'Watakeli (Bourreria succulenta)' watakeli.jpg"
"Welensali","Wilde salie","Yellow balsam","Croton flavens","welensali.jpg","./add_license.sh 'Welensali (Croton flavens)' welensali.jpg"
"Yerba di glas","Dagbloem","Morning glory","Ipomoea incarnata","yerba_di_glas.jpg","./add_license.sh 'Yerba di glas (Ipomoea incarnata)' yerba_di_glas.jpg"
"Zapata di la reina, tontonchi di la reina","Kittelbloem","Butterfly pea","Clitoria ternatea","zapata_di_la_reina_òf_tontonchi_di_la_reina.jpg","./add_license.sh 'Zapata di la reina, tontonchi di la reina (Clitoria ternatea)' zapata_di_la_reina_òf_tontonchi_di_la_reina.jpg"
"Surun di mondi","x","Spider flower tree","Crateva tapia","surun_di_mondi.jpg","./add_license.sh 'Surun di mondi (Crateva tapia)' surun_di_mondi.jpg"
"Palu di amandel","Wilde amandel","Sea almond","Terminalia catappa","palu_di_amandel.jpg","./add_license.sh 'Palu di amandel (Terminalia catappa)' palu_di_amandel.jpg"
"Apeldam","Wegedoorn","Christ's thorn jujube","Ziziphus spina-christi","apeldam.jpg","./add_license.sh 'Apeldam (Ziziphus spina-christi)' apeldam.jpg"
"Palu dushi kabei","x","Dyer's mulberry","Maclura tinctoria","palu_dushi_kabei.jpg","./add_license.sh 'Palu dushi kabei (Maclura tinctoria)' palu_dushi_kabei.jpg"
"Kashupete","acajouboom","Cashew tree","Anacardium occidentale","kashupete.jpg","./add_license.sh 'Kashupete (Anacardium occidentale)' kashupete.jpg"
"Pia di palomba","Postelein","Purslane","Portulaca elatior","pia_di_palomba.jpg","./add_license.sh 'Pia di palomba (Portulaca elatior)' pia_di_palomba.jpg"
"Lamunchi","Limoen","Lime","Citrus sp. ","lamunchi.jpg","./add_license.sh 'Lamunchi (Citrus sp. )' lamunchi.jpg"
"Noni","Indische moerbei","Great morinda","Morinda citrifolia","noni.jpg","./add_license.sh 'Noni (Morinda citrifolia)' noni.jpg"
"Sorsaka","Zuurzak","Soursop","Annona muricata","sorsaka.jpg","./add_license.sh 'Sorsaka (Annona muricata)' sorsaka.jpg"
"Binibini","x","Alamo vine","Merremia dissecta","binibini.jpg","./add_license.sh 'Binibini (Merremia dissecta)' binibini.jpg"
"Palu di dader","Dadelpalm","Date palm","Phoenix dactylifera","palu_di_dader.jpg","./add_license.sh 'Palu di dader (Phoenix dactylifera)' palu_di_dader.jpg"
"Palu di oba","gele mombinpruim","Hog plum","Spondias mombin","palu_di_oba.jpg","./add_license.sh 'Palu di oba (Spondias mombin)' palu_di_oba.jpg"
"Palu di kapòk","Kapokboom","Kapok tree","Ceiba pentandra","palu_di_kapòk.jpg","./add_license.sh 'Palu di kapòk (Ceiba pentandra)' palu_di_kapòk.jpg"
"Palu di mangel blanku","Witte mangrove","White mangrove","Laguncularia racemosa","palu_di_mangel_blanku.jpg","./add_license.sh 'Palu di mangel blanku (Laguncularia racemosa)' palu_di_mangel_blanku.jpg"
