"image";"pap_cw";"artist";"license";"wikidata_url"
"bandola.jpg";"bandola";"De Gvapolanda Respublika";"CC 4.0";"https://commons.wikimedia.org/w/index.php?curid=53194760"
"basdrum.jpg";"basdrum";"Craig Oneal";"CC 2.0";"https://commons.wikimedia.org/w/index.php?curid=19179971"
"batiman.jpg";"batiman";"Mona Hassan Abo-Abda";"CC BY-SA 4.0";"https://commons.wikimedia.org/w/index.php?curid=86932765"
"birimbou.jpg";"birimbou";"???";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=24416"
"chákara.jpg";"chákara";"Lagurion";"CC BY-SA 4.0";"https://commons.wikimedia.org/w/index.php?curid=6711548"
"kabasa.jpg";"kabasa";"???";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=71570"
"kachete_di_buriku.jpg";"kachete di buriku";"Laubrau";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=6094134"
"kampana_dòbel.jpg";"kampana dòbel";"Freddythehat";"CC0";"https://commons.wikimedia.org/w/index.php?curid=6595545"
"kastanèt.jpg";"kastanèt";"Bemoeial";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=244329"
"kitaralaúd.jpg";"kitara laúd";"Medievalista";"CC0";"https://commons.wikimedia.org/w/index.php?curid=5053904"
"kòrnèt.jpg";"kòrnèt";"Nevilley";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=1153354"
"panflúit.jpg";"panflúit";"Andrew Dunn";"CC BY-SA 1.0";"https://commons.wikimedia.org/w/index.php?curid=268710"
"píkolo.jpg";"píkolo";"Nevilley";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=49621"
"reinstek.jpg";"reinstek";"Andy Brice";"CC0";"https://commons.wikimedia.org/w/index.php?curid=728380"
"sèmpler.jpg";"sèmpler";"conner_bw";"GFDL";"https://commons.wikimedia.org/w/index.php?curid=12791580"
"silofonchikí.jpg";"silofon chikí";"flamurai";"CC0";"https://commons.wikimedia.org/w/index.php?curid=797965"
"silomarimba.jpg";"silo marimba";"Xylosmygame";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=21063408"
"stilpèn.jpg";"stilpèn";"Andrewa";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=2759850"
"stilpèn_di_man.jpg";"stilpèn di man";"Toglenn";"CC BY-SA 4.0";"https://commons.wikimedia.org/w/index.php?curid=87065654"
"trokolé.jpg";"trokolé";"Salvatore Capalbi";"CC BY-SA 2.5";"https://commons.wikimedia.org/w/index.php?curid=1748063"
"tuba.jpg";"tuba";"EnnoymousUser";"CC BY-SA 4.0";"https://commons.wikimedia.org/w/index.php?curid=114924301"
"turnteibel.jpg";"turnteibel";"Aronscottmusic";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=29553138"
"vibraslèp.jpg";"vibraslèp";"???";"CC BY-SA 3.0";"https://en.wikipedia.org/w/index.php?curid=7524585"
"woodblòk.jpg";"woodblòk";"Ferbr1";"CC BY-SA 3.0";"https://commons.wikimedia.org/w/index.php?curid=18373393"
